Loc_Name,Start_Date,QAQC,Target_Species,Plot_Name,Spp_Name,Species,Damage,No Damage,Total,Total_adj,Subsampled
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A1,Common periwinkle (Littorina littorea),LITLIT,0,3,3,3,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A1,Smooth periwinkle (Littorina obtusata),LITOBT,0,6,6,6,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A1,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A1,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A1,Limpet (Tectura testudinalis),TECTES,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A2,Common periwinkle (Littorina littorea),LITLIT,0,8,8,8,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,0,25,25,25,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A2,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A2,Dogwhelk (Nucella lapillus),NUCLAP,0,1,1,1,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A2,Limpet (Tectura testudinalis),TECTES,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,0,16,16,16,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,0,34,34,34,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A3,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A3,Dogwhelk (Nucella lapillus),NUCLAP,0,2,2,2,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A3,Limpet (Tectura testudinalis),TECTES,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A4,Common periwinkle (Littorina littorea),LITLIT,0,20,20,20,Yes
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A4,Smooth periwinkle (Littorina obtusata),LITOBT,1,6,7,7,Yes
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A4,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,Yes
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A4,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,0,Yes
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A4,Limpet (Tectura testudinalis),TECTES,0,0,0,0,Yes
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A5,Common periwinkle (Littorina littorea),LITLIT,1,22,23,23,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A5,Smooth periwinkle (Littorina obtusata),LITOBT,0,23,23,23,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A5,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A5,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Ascophyllum,A5,Limpet (Tectura testudinalis),TECTES,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B1,Common periwinkle (Littorina littorea),LITLIT,0,1,1,1,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B1,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B1,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B1,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B1,Limpet (Tectura testudinalis),TECTES,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B2,Common periwinkle (Littorina littorea),LITLIT,0,1,1,1,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B2,Smooth periwinkle (Littorina obtusata),LITOBT,0,1,1,1,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B2,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B2,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B2,Limpet (Tectura testudinalis),TECTES,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B3,Common periwinkle (Littorina littorea),LITLIT,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B3,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B3,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B3,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B3,Limpet (Tectura testudinalis),TECTES,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B4,Common periwinkle (Littorina littorea),LITLIT,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B4,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B4,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B4,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B4,Limpet (Tectura testudinalis),TECTES,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B5,Common periwinkle (Littorina littorea),LITLIT,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B5,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B5,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B5,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Barnacle,B5,Limpet (Tectura testudinalis),TECTES,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Fucus,F1,Common periwinkle (Littorina littorea),LITLIT,2,30,32,32,No
Bass Harbor,6/21/2013 0:00,0,Fucus,F1,Smooth periwinkle (Littorina obtusata),LITOBT,1,40,41,41,No
Bass Harbor,6/21/2013 0:00,0,Fucus,F1,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Fucus,F1,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Fucus,F1,Limpet (Tectura testudinalis),TECTES,0,11,11,11,No
Bass Harbor,6/21/2013 0:00,0,Fucus,F2,Common periwinkle (Littorina littorea),LITLIT,0,5,5,5,No
Bass Harbor,6/21/2013 0:00,0,Fucus,F2,Smooth periwinkle (Littorina obtusata),LITOBT,1,80,81,81,No
Bass Harbor,6/21/2013 0:00,0,Fucus,F2,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Fucus,F2,Dogwhelk (Nucella lapillus),NUCLAP,0,6,6,6,No
Bass Harbor,6/21/2013 0:00,0,Fucus,F2,Limpet (Tectura testudinalis),TECTES,0,3,3,3,No
Bass Harbor,6/21/2013 0:00,0,Fucus,F3,Common periwinkle (Littorina littorea),LITLIT,0,3,3,3,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F3,Smooth periwinkle (Littorina obtusata),LITOBT,0,17,17,17,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F3,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F3,Dogwhelk (Nucella lapillus),NUCLAP,0,1,1,1,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F3,Limpet (Tectura testudinalis),TECTES,0,13,13,13,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F4,Common periwinkle (Littorina littorea),LITLIT,1,22,23,23,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F4,Smooth periwinkle (Littorina obtusata),LITOBT,2,32,34,34,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F4,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F4,Dogwhelk (Nucella lapillus),NUCLAP,0,1,1,1,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F4,Limpet (Tectura testudinalis),TECTES,0,2,2,2,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F5,Common periwinkle (Littorina littorea),LITLIT,0,5,5,5,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F5,Smooth periwinkle (Littorina obtusata),LITOBT,0,45,45,45,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F5,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F5,Dogwhelk (Nucella lapillus),NUCLAP,1,0,1,1,Yes
Bass Harbor,6/21/2013 0:00,0,Fucus,F5,Limpet (Tectura testudinalis),TECTES,0,5,5,5,Yes
Bass Harbor,6/21/2013 0:00,0,Red Algae,R1,Common periwinkle (Littorina littorea),LITLIT,0,2,2,2,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R1,Smooth periwinkle (Littorina obtusata),LITOBT,0,1,1,1,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R1,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R1,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R1,Limpet (Tectura testudinalis),TECTES,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R2,Common periwinkle (Littorina littorea),LITLIT,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R2,Smooth periwinkle (Littorina obtusata),LITOBT,0,1,1,1,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R2,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R2,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R2,Limpet (Tectura testudinalis),TECTES,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R3,Common periwinkle (Littorina littorea),LITLIT,0,1,1,1,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R3,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R3,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R3,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R3,Limpet (Tectura testudinalis),TECTES,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R4,Common periwinkle (Littorina littorea),LITLIT,0,1,1,1,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R4,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R4,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R4,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R4,Limpet (Tectura testudinalis),TECTES,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R5,Common periwinkle (Littorina littorea),LITLIT,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R5,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R5,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,0,No
Bass Harbor,6/21/2013 0:00,0,Red Algae,R5,Dogwhelk (Nucella lapillus),NUCLAP,0,2,2,2,No
